Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
PropGeom,7.221739,7.221739,0.223265,0.223265
PropGeom,7.221739,7.221739,0.223265,0.223265
PropGeom,7.221739,7.221739,0.223265,0.223265
PropGeom,7.221739,7.221739,0.223265,0.223265
Duct,272.414826,271.709097,40.452948,40.452948
VerticalStab,133.788573,78.232504,25.477408,15.112332
Body,938.106427,920.637184,2027.997006,2018.885844
MainWing,875.137839,770.072452,197.418677,176.218466
Cannard,341.893500,273.564316,48.085654,39.029427
Totals,2590.228121,2343.102508,2340.324753,2290.592082

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
PropGeom_S_Surf0,7.221739,7.221739
PropGeom_S_Surf1,7.221739,7.221739
PropGeom_S_Surf2,7.221739,7.221739
PropGeom_S_Surf3,7.221739,7.221739
Duct_S_Surf0,272.414826,271.709097
VerticalStab_S_Surf0,66.894286,39.116257
VerticalStab_S_Surf1,66.894286,39.116248
Body_S_Surf0,938.106427,920.637184
MainWing_S_Surf0,437.568919,385.036226
MainWing_S_Surf1,437.568919,385.036226
Cannard_S_Surf0,170.946750,136.782158
Cannard_S_Surf1,170.946750,136.782158
