# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
8

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Duct,0,BCEQUETROM,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 2.804347826086956275e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,37,25
# x,y,z,u,w
3.198270935857755504e+01, 4.555407775129525660e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
3.188023793288285646e+01, 4.591885499817797367e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 5.771534743847431259e-02
3.171500293799123682e+01, 4.648691557200628210e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.440022120384465143e-01
3.146038941854135018e+01, 4.733525656866214071e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.765358755368439447e-01
3.109352616458856033e+01, 4.850621797385105793e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.667132275822860055e-01
3.061214833015359460e+01, 4.992573142500857486e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 7.145652345573094699e-01
3.005016437309875954e+01, 5.126869816633495169e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
2.947626490652759657e+01, 5.194177091162814008e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.285434765442690752e+00
2.897547307831841579e+01, 5.226827211371677606e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.533286772417713939e+00
2.859051223642776307e+01, 5.236334304204363299e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.723464124463156111e+00
2.832215696408159999e+01, 5.233741100087641485e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.855997787961553458e+00
2.814746594534253177e+01, 5.230211719283311744e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.942284652561525382e+00
2.804347826086956275e+01, 5.250000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.000000000000000000e+00
2.808565367535932111e+01, 5.352146606817436592e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.057715347438474396e+00
2.823809501456726068e+01, 5.462061680684261233e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.144002212038446320e+00
2.850474303975241597e+01, 5.573668323945275560e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.276535875536843889e+00
2.891040353619187897e+01, 5.660839777661052175e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.466713227582285839e+00
2.945081802297411144e+01, 5.677412646518954276e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.714565234557309914e+00
3.006381579322459174e+01, 5.570220279309994638e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.000000000000000000e+00
3.063610944426656602e+01, 5.325266484298579073e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.285434765442690974e+00
3.110414969852077860e+01, 5.053194513211053618e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.533286772417714161e+00
3.145783938880834185e+01, 4.835216838263551864e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.723464124463156111e+00
3.170806691422859558e+01, 4.689594132221300171e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.855997787961553236e+00
3.187541754711798703e+01, 4.602881585191386904e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.942284652561525604e+00
3.198270935857755504e+01, 4.555407775129525660e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.000000000000000000e+00
3.198270935857755504e+01, 4.481958608425391510e+00, -8.183967204192565958e-01, 1.111111111111111049e-01, 0.000000000000000000e+00
3.188023793288285646e+01, 4.517848184123743671e+00, -8.249500855024489709e-01, 1.111111111111111049e-01, 5.771534743847431259e-02
3.171500293799123682e+01, 4.573738328423821109e+00, -8.351555146005578134e-01, 1.111111111111111049e-01, 1.440022120384465143e-01
3.146038941854134308e+01, 4.657204604562706685e+00, -8.503962904812770729e-01, 1.111111111111111049e-01, 2.765358755368439447e-01
3.109352616458856033e+01, 4.772412744189048261e+00, -8.714330674516304054e-01, 1.111111111111111049e-01, 4.667132275822860055e-01
3.061214833015359460e+01, 4.912075335251165242e+00, -8.969351785768040486e-01, 1.111111111111111049e-01, 7.145652345573094699e-01
3.005016437309874888e+01, 5.044206675500845449e+00, -9.210620982948175550e-01, 1.111111111111111049e-01, 1.000000000000000000e+00
2.947626490652759657e+01, 5.110428720458774166e+00, -9.331541118870773088e-01, 1.111111111111111049e-01, 1.285434765442690752e+00
2.897547307831841223e+01, 5.142552406100085349e+00, -9.390198329419765511e-01, 1.111111111111111049e-01, 1.533286772417713939e+00
2.859051223642776307e+01, 5.151906211218297393e+00, -9.407278191375196830e-01, 1.111111111111111049e-01, 1.723464124463156111e+00
2.832215696408159999e+01, 5.149354818656297184e+00, -9.402619399343252748e-01, 1.111111111111111049e-01, 1.855997787961553458e+00
2.814746594534252111e+01, 5.145882343861670982e+00, -9.396278729488969361e-01, 1.111111111111111049e-01, 1.942284652561525382e+00
2.804347826086956275e+01, 5.165351568019453055e+00, -9.431829145260063330e-01, 1.111111111111111049e-01, 2.000000000000000000e+00
2.808565367535931045e+01, 5.265851212913227997e+00, -9.615339496359134319e-01, 1.111111111111111049e-01, 2.057715347438474396e+00
2.823809501456725002e+01, 5.373994069893603509e+00, -9.812806200587809169e-01, 1.111111111111111049e-01, 2.144002212038446320e+00
2.850474303975241597e+01, 5.483801222230683337e+00, -1.001331187500949627e+00, 1.111111111111111049e-01, 2.276535875536843889e+00
2.891040353619186831e+01, 5.569567166066362596e+00, -1.016991878125543369e+00, 1.111111111111111049e-01, 2.466713227582285839e+00
2.945081802297411144e+01, 5.585872822093362444e+00, -1.019969258459153316e+00, 1.111111111111111049e-01, 2.714565234557309914e+00
3.006381579322459174e+01, 5.480408772180502375e+00, -1.000711732874564941e+00, 1.111111111111111049e-01, 3.000000000000000000e+00
3.063610944426656602e+01, 5.239404492341543929e+00, -9.567048311025510010e-01, 1.111111111111111049e-01, 3.285434765442690974e+00
3.110414969852077505e+01, 4.971719276632764917e+00, -9.078260435499474479e-01, 1.111111111111111049e-01, 3.533286772417714161e+00
3.145783938880833830e+01, 4.757256167093085963e+00, -8.686655066435503558e-01, 1.111111111111111049e-01, 3.723464124463156111e+00
3.170806691422859558e+01, 4.613981410332214317e+00, -8.425038212519131431e-01, 1.111111111111111049e-01, 3.855997787961553236e+00
3.187541754711797992e+01, 4.528666973995466805e+00, -8.269255749978852155e-01, 1.111111111111111049e-01, 3.942284652561525604e+00
3.198270935857755504e+01, 4.481958608425391510e+00, -8.183967204192565958e-01, 1.111111111111111049e-01, 4.000000000000000000e+00
3.198270935857755504e+01, 4.270215890584013074e+00, -1.588850103546978865e+00, 2.222222222222222099e-01, 0.000000000000000000e+00
3.188023793288285646e+01, 4.304409922667513655e+00, -1.601572924314976998e+00, 2.222222222222222099e-01, 5.771534743847431259e-02
3.171500293799123682e+01, 4.357659629585506345e+00, -1.621385927806687555e+00, 2.222222222222222099e-01, 1.440022120384465143e-01
3.146038941854135018e+01, 4.437182679625756521e+00, -1.650974644051557139e+00, 2.222222222222222099e-01, 2.765358755368439447e-01
3.109352616458856033e+01, 4.546948001338501300e+00, -1.691815820993856967e+00, 2.222222222222222099e-01, 4.667132275822860055e-01
3.061214833015359460e+01, 4.680012464395449712e+00, -1.741326077927854765e+00, 2.222222222222222099e-01, 7.145652345573094699e-01
3.005016437309875954e+01, 4.805901478122100556e+00, -1.788166513545188518e+00, 2.222222222222222099e-01, 1.000000000000000000e+00
2.947626490652759657e+01, 4.868994972148291467e+00, -1.811642166084840966e+00, 2.222222222222222099e-01, 1.285434765442690752e+00
2.897547307831841579e+01, 4.899601027418809984e+00, -1.823029982376039859e+00, 2.222222222222222099e-01, 1.533286772417713939e+00
2.859051223642776307e+01, 4.908512927492616029e+00, -1.826345897476793878e+00, 2.222222222222222099e-01, 1.723464124463156111e+00
2.832215696408159999e+01, 4.906082071250237320e+00, -1.825441431217622590e+00, 2.222222222222222099e-01, 1.855997787961553458e+00
2.814746594534253177e+01, 4.902773647781134336e+00, -1.824210442174878377e+00, 2.222222222222222099e-01, 1.942284652561525382e+00
2.804347826086956275e+01, 4.921323080660682692e+00, -1.831112263793873263e+00, 2.222222222222222099e-01, 2.000000000000000000e+00
2.808565367535932111e+01, 5.017074786135315989e+00, -1.866739293212604345e+00, 2.222222222222222099e-01, 2.057715347438474396e+00
2.823809501456726068e+01, 5.120108612789283420e+00, -1.905075834114195565e+00, 2.222222222222222099e-01, 2.144002212038446320e+00
2.850474303975241597e+01, 5.224728107919853315e+00, -1.944002366151549976e+00, 2.222222222222222099e-01, 2.276535875536843889e+00
2.891040353619187897e+01, 5.306442181661986446e+00, -1.974406312428064192e+00, 2.222222222222222099e-01, 2.466713227582285839e+00
2.945081802297411144e+01, 5.321977503952111554e+00, -1.980186652125578650e+00, 2.222222222222222099e-01, 2.714565234557309914e+00
3.006381579322459174e+01, 5.221495928558566035e+00, -1.942799745805307676e+00, 2.222222222222222099e-01, 3.000000000000000000e+00
3.063610944426656602e+01, 4.991877497113785367e+00, -1.857363955689449897e+00, 2.222222222222222099e-01, 3.285434765442690974e+00
3.110414969852077860e+01, 4.736838626463520718e+00, -1.762469798947937427e+00, 2.222222222222222099e-01, 3.533286772417714161e+00
3.145783938880834185e+01, 4.532507471646779251e+00, -1.686442828694671991e+00, 2.222222222222222099e-01, 3.723464124463156111e+00
3.170806691422859558e+01, 4.396001493682208050e+00, -1.635652062424040043e+00, 2.222222222222222099e-01, 3.855997787961553236e+00
3.187541754711798703e+01, 4.314717596714364056e+00, -1.605408175130463633e+00, 2.222222222222222099e-01, 3.942284652561525604e+00
3.198270935857755504e+01, 4.270215890584013074e+00, -1.588850103546978865e+00, 2.222222222222222099e-01, 4.000000000000000000e+00
3.198270935857755859e+01, 3.933086795011917047e+00, -2.298452975976636559e+00, 3.333333333333333148e-01, 0.000000000000000000e+00
3.188023793288285646e+01, 3.964581243887999040e+00, -2.316857987998689694e+00, 3.333333333333333148e-01, 5.771534743847431259e-02
3.171500293799123682e+01, 4.013626941923835290e+00, -2.345519758380235409e+00, 3.333333333333333148e-01, 1.440022120384465143e-01
3.146038941854135729e+01, 4.086871730015709581e+00, -2.388323212750489866e+00, 3.333333333333333148e-01, 2.765358755368439447e-01
3.109352616458856033e+01, 4.187971193939906911e+00, -2.447404635520238791e+00, 3.333333333333333148e-01, 4.667132275822860055e-01
3.061214833015359460e+01, 4.310530356273748254e+00, -2.519026871713113458e+00, 3.333333333333333148e-01, 7.145652345573094699e-01
3.005016437309875954e+01, 4.426480563526068224e+00, -2.586786906722306156e+00, 3.333333333333333148e-01, 1.000000000000000000e+00
2.947626490652759657e+01, 4.484592891933808723e+00, -2.620747116890844275e+00, 3.333333333333333148e-01, 1.285434765442690752e+00
2.897547307831841579e+01, 4.512782631028105840e+00, -2.637220892601937816e+00, 3.333333333333333148e-01, 1.533286772417713939e+00
2.859051223642776662e+01, 4.520990945876083522e+00, -2.642017742169055161e+00, 3.333333333333333148e-01, 1.723464124463156111e+00
2.832215696408160355e+01, 4.518752003201417011e+00, -2.640709328517935717e+00, 3.333333333333333148e-01, 1.855997787961553458e+00
2.814746594534253177e+01, 4.515704776318267832e+00, -2.638928562401375189e+00, 3.333333333333333148e-01, 1.942284652561525382e+00
2.804347826086956275e+01, 4.532789750797986628e+00, -2.648912834929302740e+00, 3.333333333333333148e-01, 2.000000000000000000e+00
2.808565367535932111e+01, 4.620981958885770347e+00, -2.700451398328004959e+00, 3.333333333333333148e-01, 2.057715347438474396e+00
2.823809501456726778e+01, 4.715881372272769489e+00, -2.755909579264773868e+00, 3.333333333333333148e-01, 2.144002212038446320e+00
2.850474303975242307e+01, 4.812241267262196587e+00, -2.812221249702387738e+00, 3.333333333333333148e-01, 2.276535875536843889e+00
2.891040353619187897e+01, 4.887504100017441289e+00, -2.856204027338039353e+00, 3.333333333333333148e-01, 2.466713227582285839e+00
2.945081802297411144e+01, 4.901812924798472970e+00, -2.864565948295999753e+00, 3.333333333333333148e-01, 2.714565234557309914e+00
3.006381579322459530e+01, 4.809264265093988300e+00, -2.810481522142425526e+00, 3.333333333333333148e-01, 3.000000000000000000e+00
3.063610944426656957e+01, 4.597773969580308595e+00, -2.686888902795685929e+00, 3.333333333333333148e-01, 3.285434765442690974e+00
3.110414969852077860e+01, 4.362870152051748107e+00, -2.549613676845540855e+00, 3.333333333333333148e-01, 3.533286772417714161e+00
3.145783938880834185e+01, 4.174670729022261106e+00, -2.439631989055734529e+00, 3.333333333333333148e-01, 3.723464124463156111e+00
3.170806691422859558e+01, 4.048941755797158315e+00, -2.366157349990504422e+00, 3.333333333333333148e-01, 3.855997787961553236e+00
3.187541754711799413e+01, 3.974075137808057434e+00, -2.322406115937752702e+00, 3.333333333333333148e-01, 3.942284652561525604e+00
3.198270935857755859e+01, 3.933086795011917047e+00, -2.298452975976636559e+00, 3.333333333333333148e-01, 4.000000000000000000e+00
3.198270935857755859e+01, 3.483478495115635898e+00, -2.934298164301698542e+00, 4.444444444444444198e-01, 0.000000000000000000e+00
3.188023793288285646e+01, 3.511372676224094214e+00, -2.957794748114693562e+00, 4.444444444444444198e-01, 5.771534743847431259e-02
3.171500293799123682e+01, 3.554811746676962869e+00, -2.994385525083044453e+00, 4.444444444444444198e-01, 1.440022120384465143e-01
3.146038941854134663e+01, 3.619683603692915419e+00, -3.049030148617726255e+00, 4.444444444444444198e-01, 2.765358755368439447e-01
3.109352616458856033e+01, 3.709225947099703546e+00, -3.124455885924333653e+00, 4.444444444444444198e-01, 4.667132275822860055e-01
3.061214833015359460e+01, 3.817774837226098228e+00, -3.215891733592540547e+00, 4.444444444444444198e-01, 7.145652345573094699e-01
3.005016437309875954e+01, 3.920470270741551744e+00, -3.302396938797362402e+00, 4.444444444444444198e-01, 1.000000000000000000e+00
2.947626490652759657e+01, 3.971939525517774960e+00, -3.345751918602636987e+00, 4.444444444444444198e-01, 1.285434765442690752e+00
2.897547307831841579e+01, 3.996906772628222804e+00, -3.366783007919415205e+00, 4.444444444444444198e-01, 1.533286772417713939e+00
2.859051223642776307e+01, 4.004176759217466852e+00, -3.372906860365534332e+00, 4.444444444444444198e-01, 1.723464124463156111e+00
2.832215696408159999e+01, 4.002193759841787823e+00, -3.371236486503308427e+00, 4.444444444444444198e-01, 1.855997787961553458e+00
2.814746594534253177e+01, 3.999494874749638385e+00, -3.368963088351818236e+00, 4.444444444444444198e-01, 1.942284652561525382e+00
